"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.111653792E0,5.703140259E-2,2.136058044E-1,9.821226654E0,9.823714827E0
3.121685792E0,5.224136353E-2,2.106120300E-1,9.817185059E0,9.819582937E0
3.131716792E0,5.328918457E-2,2.053729248E-1,9.813143463E0,9.815436944E0
3.141747792E0,7.304809570E-2,2.127076721E-1,9.803862762E0,9.806442048E0
3.151779792E0,6.496490479E-2,2.171983337E-1,9.810299377E0,9.812918497E0
3.161810792E0,5.553451538E-2,2.188449097E-1,9.826316071E0,9.828909639E0
3.171841792E0,6.286926270E-2,2.143542480E-1,9.817185059E0,9.819726206E0
3.181873792E0,5.568420410E-2,2.151026917E-1,9.810449066E0,9.812964933E0
3.191904792E0,4.984634399E-2,2.218386841E-1,9.806407471E0,9.809042998E0
3.201935792E0,5.792953491E-2,2.195933533E-1,9.809550934E0,9.812179503E0
3.211967792E0,4.909790039E-2,2.275268555E-1,9.817185059E0,9.819944071E0
3.221998792E0,5.613327026E-2,2.151026917E-1,9.812844086E0,9.815361897E0
3.232029792E0,6.406677246E-2,2.065704346E-1,9.829908600E0,9.832287576E0
3.242061792E0,6.167175293E-2,2.052232361E-1,9.815688171E0,9.818027004E0
3.252092792E0,4.834945679E-2,2.170486450E-1,9.825417938E0,9.827933936E0
3.262123792E0,3.487747192E-2,2.185455322E-1,9.809550934E0,9.812047091E0
